ID,Action,Source,Destination,Protocol,Port
203,permit,172.16.0.0/16,DATABASE,tcp,143
204,deny,198.51.100.0/24,INTERNAL,tcp,80
205,deny,198.51.100.0/24,ANY,tcp,445
206,permit,198.51.100.0/24,DMZ,tcp,23
207,deny,192.168.10.0/24,DMZ,tcp,25
208,deny,192.168.20.0/24,MAIL,udp,53
209,deny,172.16.0.0/16,DMZ,tcp,8080
210,permit,203.0.113.0/24,DMZ,udp,123
211,deny,192.168.20.0/24,INTERNAL,tcp,110
212,deny,203.0.113.0/24,WEB,tcp,80
213,deny,203.0.113.0/24,WEB,tcp,8080
214,permit,172.16.5.0/24,DMZ,tcp,3306
215,deny,10.1.0.0/16,DATABASE,udp,161
216,deny,192.168.10.0/24,INTERNAL,udp,123
217,deny,172.16.0.0/16,ANY,tcp,25
218,deny,10.1.0.0/16,DNS,tcp,443
219,permit,10.1.0.0/16,APP,tcp,3306
220,deny,192.168.20.0/24,APP,tcp,21
221,permit,192.168.20.0/24,DATABASE,tcp,80
222,permit,192.168.1.0/24,DMZ,tcp,110
223,deny,198.51.100.0/24,MAIL,tcp,23
224,deny,192.168.1.0/24,DATABASE,udp,123
225,permit,172.16.0.0/16,DNS,tcp,143
226,permit,203.0.113.0/24,WEB,tcp,8080
227,permit,ANY,MAIL,tcp,8080
228,permit,172.16.0.0/16,DATABASE,udp,53
229,deny,192.168.1.0/24,INTERNAL,tcp,22
230,permit,192.168.20.0/24,INTERNAL,tcp,3389
231,permit,198.51.100.0/24,DMZ,tcp,80
232,deny,198.51.100.0/24,MAIL,tcp,3389
233,deny,ANY,DATABASE,tcp,22
234,permit,192.168.10.0/24,APP,tcp,3389
235,deny,10.0.0.0/8,INTERNAL,tcp,80
236,permit,10.1.0.0/16,ANY,tcp,25
237,deny,192.168.1.0/24,APP,tcp,3306
238,deny,203.0.113.0/24,APP,tcp,3389
239,permit,203.0.113.0/24,DATABASE,tcp,25
240,deny,192.168.1.0/24,DNS,tcp,22
241,permit,10.0.0.0/8,DMZ,tcp,143
242,deny,192.168.20.0/24,DATABASE,tcp,23
243,deny,192.168.10.0/24,INTERNAL,udp,161
244,deny,10.1.0.0/16,ANY,tcp,8080
245,deny,10.0.0.0/8,MAIL,tcp,443
246,deny,172.16.5.0/24,MAIL,tcp,143
247,deny,10.0.0.0/8,ANY,tcp,80
248,deny,198.51.100.0/24,DATABASE,udp,123
249,permit,192.168.1.0/24,MAIL,tcp,25
250,permit,192.168.20.0/24,WEB,tcp,23
251,deny,ANY,DATABASE,tcp,23
252,permit,10.1.0.0/16,APP,tcp,443
253,deny,192.168.10.0/24,DMZ,tcp,80
254,deny,203.0.113.0/24,DNS,tcp,23
255,deny,198.51.100.0/24,INTERNAL,tcp,25
256,deny,192.168.10.0/24,MAIL,udp,161
257,deny,172.16.5.0/24,DATABASE,tcp,3306
258,permit,10.0.0.0/8,ANY,udp,161
259,permit,10.0.0.0/8,MAIL,tcp,443
260,deny,10.1.0.0/16,INTERNAL,tcp,25
261,permit,192.168.10.0/24,DNS,tcp,21
262,deny,10.0.0.0/8,WEB,tcp,143
263,permit,10.1.0.0/16,MAIL,tcp,23
264,permit,172.16.5.0/24,INTERNAL,tcp,3306
265,permit,192.168.20.0/24,INTERNAL,udp,161
266,permit,ANY,DNS,tcp,443
267,permit,192.168.10.0/24,DMZ,tcp,23
268,deny,172.16.5.0/24,MAIL,tcp,443
269,permit,172.16.5.0/24,WEB,tcp,3306
270,deny,192.168.1.0/24,INTERNAL,tcp,445
271,permit,172.16.5.0/24,DMZ,tcp,3389
272,deny,ANY,DMZ,udp,161
273,permit,10.1.0.0/16,DATABASE,udp,123
274,permit,192.168.1.0/24,ANY,tcp,110
275,deny,172.16.0.0/16,INTERNAL,tcp,22
276,permit,192.168.1.0/24,DATABASE,tcp,23
277,permit,198.51.100.0/24,DATABASE,tcp,8080
278,permit,10.1.0.0/16,WEB,tcp,8080
279,deny,198.51.100.0/24,WEB,tcp,8080
280,deny,192.168.10.0/24,INTERNAL,tcp,445
281,deny,10.1.0.0/16,INTERNAL,udp,161
282,deny,ANY,DNS,tcp,23
283,deny,198.51.100.0/24,DATABASE,tcp,443
284,permit,203.0.113.0/24,MAIL,tcp,80
285,permit,192.168.10.0/24,ANY,tcp,8080
286,permit,172.16.0.0/16,MAIL,tcp,143
287,deny,198.51.100.0/24,DMZ,tcp,80
288,deny,192.168.20.0/24,DNS,udp,161
289,deny,203.0.113.0/24,WEB,tcp,21
290,deny,192.168.20.0/24,WEB,tcp,3306
291,deny,192.168.20.0/24,ANY,tcp,445
292,permit,ANY,DMZ,tcp,143
293,permit,192.168.20.0/24,APP,tcp,443
294,permit,203.0.113.0/24,MAIL,tcp,21
295,permit,172.16.5.0/24,ANY,udp,123
296,permit,192.168.10.0/24,INTERNAL,tcp,143
297,deny,172.16.0.0/16,WEB,tcp,23
298,deny,ANY,MAIL,tcp,143
299,deny,203.0.113.0/24,MAIL,tcp,443
300,permit,172.16.0.0/16,ANY,udp,123
301,deny,172.16.0.0/16,DNS,tcp,22
302,permit,10.1.0.0/16,DMZ,udp,53
303,permit,ANY,ANY,tcp,23
304,permit,10.1.0.0/16,DMZ,tcp,80
305,permit,192.168.1.0/24,DATABASE,udp,161
306,deny,ANY,DMZ,tcp,22
307,permit,192.168.20.0/24,DNS,tcp,110
308,deny,ANY,ANY,tcp,445
309,permit,ANY,DATABASE,udp,161
310,permit,203.0.113.0/24,INTERNAL,tcp,8080
311,permit,198.51.100.0/24,WEB,tcp,3306
312,deny,198.51.100.0/24,DMZ,tcp,445
313,deny,192.168.20.0/24,INTERNAL,tcp,22
314,permit,198.51.100.0/24,DNS,udp,123
315,permit,10.0.0.0/8,APP,tcp,445
316,permit,192.168.10.0/24,ANY,tcp,25
317,permit,203.0.113.0/24,DMZ,tcp,3389
318,permit,172.16.0.0/16,DATABASE,tcp,3389
319,permit,192.168.20.0/24,WEB,tcp,110
320,deny,203.0.113.0/24,DNS,udp,161
321,permit,10.1.0.0/16,WEB,tcp,80
322,permit,10.1.0.0/16,DNS,tcp,443
323,deny,192.168.20.0/24,INTERNAL,tcp,143
324,permit,10.1.0.0/16,DNS,tcp,143
325,deny,172.16.5.0/24,MAIL,tcp,25
326,permit,192.168.20.0/24,WEB,tcp,445
327,permit,172.16.5.0/24,ANY,tcp,3306
328,permit,172.16.5.0/24,MAIL,tcp,80
329,permit,172.16.0.0/16,ANY,tcp,25
330,deny,192.168.20.0/24,APP,tcp,22
331,permit,10.0.0.0/8,DNS,tcp,443
332,deny,203.0.113.0/24,APP,tcp,8080
333,permit,10.0.0.0/8,DNS,tcp,445
334,deny,10.1.0.0/16,DATABASE,udp,53
335,deny,192.168.20.0/24,INTERNAL,udp,161
336,deny,192.168.10.0/24,WEB,tcp,23
337,permit,192.168.20.0/24,ANY,udp,161
338,permit,172.16.5.0/24,DATABASE,tcp,8080
339,permit,198.51.100.0/24,DMZ,tcp,443
340,deny,ANY,DMZ,udp,123
341,deny,198.51.100.0/24,DATABASE,tcp,22
342,deny,172.16.5.0/24,WEB,tcp,445
343,permit,203.0.113.0/24,WEB,tcp,143
344,deny,192.168.10.0/24,DMZ,udp,161
345,deny,172.16.5.0/24,DNS,tcp,8080
346,deny,10.0.0.0/8,MAIL,tcp,3306
347,deny,198.51.100.0/24,MAIL,tcp,80
348,permit,198.51.100.0/24,INTERNAL,tcp,8080
349,deny,198.51.100.0/24,ANY,tcp,3389
350,permit,198.51.100.0/24,DNS,tcp,21
351,permit,10.1.0.0/16,DMZ,tcp,3389
352,permit,172.16.5.0/24,DMZ,udp,53
353,permit,10.0.0.0/8,APP,tcp,3389
354,permit,10.0.0.0/8,DMZ,tcp,25
355,permit,192.168.20.0/24,WEB,udp,161
356,permit,192.168.1.0/24,DNS,udp,123
357,deny,203.0.113.0/24,INTERNAL,udp,123
358,permit,203.0.113.0/24,APP,tcp,443
359,deny,192.168.10.0/24,INTERNAL,tcp,8080
360,permit,10.0.0.0/8,DATABASE,tcp,21
361,deny,203.0.113.0/24,DNS,tcp,8080
362,deny,192.168.1.0/24,ANY,tcp,8080
363,deny,172.16.0.0/16,ANY,tcp,21
364,permit,10.1.0.0/16,INTERNAL,udp,161
365,deny,10.1.0.0/16,DMZ,tcp,110
366,permit,192.168.1.0/24,DNS,udp,161
367,permit,192.168.10.0/24,WEB,tcp,80
368,deny,10.0.0.0/8,DATABASE,tcp,21
369,permit,172.16.0.0/16,WEB,udp,161
370,deny,203.0.113.0/24,DNS,tcp,21
371,deny,ANY,APP,tcp,3389
372,permit,ANY,APP,tcp,3389
373,deny,192.168.1.0/24,DNS,tcp,445
374,deny,172.16.0.0/16,INTERNAL,tcp,8080
375,permit,192.168.1.0/24,WEB,tcp,23
376,deny,172.16.0.0/16,DATABASE,tcp,21
377,permit,ANY,WEB,tcp,8080
378,deny,198.51.100.0/24,APP,tcp,8080
379,permit,198.51.100.0/24,WEB,tcp,443
380,permit,172.16.5.0/24,DNS,tcp,110
381,deny,192.168.20.0/24,DATABASE,tcp,8080
382,permit,203.0.113.0/24,ANY,tcp,3389
383,permit,203.0.113.0/24,DATABASE,tcp,80
384,permit,10.0.0.0/8,ANY,tcp,3389
385,deny,192.168.1.0/24,APP,tcp,25
386,deny,172.16.0.0/16,APP,tcp,23
387,deny,192.168.10.0/24,WEB,tcp,80
388,permit,192.168.1.0/24,APP,tcp,80
389,permit,192.168.10.0/24,MAIL,tcp,21
390,permit,203.0.113.0/24,DNS,tcp,3389
391,permit,192.168.1.0/24,DNS,tcp,3306
392,permit,203.0.113.0/24,MAIL,tcp,3306
393,deny,ANY,MAIL,tcp,110
394,permit,10.1.0.0/16,WEB,tcp,443
395,deny,203.0.113.0/24,MAIL,tcp,22
396,deny,172.16.0.0/16,APP,tcp,80
397,deny,192.168.1.0/24,DMZ,tcp,443
398,deny,172.16.5.0/24,DMZ,tcp,21
399,permit,ANY,DNS,tcp,3389
400,permit,192.168.10.0/24,INTERNAL,tcp,21
401,permit,ANY,WEB,tcp,143
402,permit,203.0.113.0/24,DATABASE,tcp,3306
403,deny,203.0.113.0/24,WEB,tcp,22
404,deny,203.0.113.0/24,APP,tcp,25
405,permit,192.168.1.0/24,DMZ,tcp,8080
406,deny,10.0.0.0/8,DATABASE,tcp,80
407,deny,10.1.0.0/16,INTERNAL,tcp,3306
408,permit,10.0.0.0/8,INTERNAL,tcp,25
409,deny,10.1.0.0/16,INTERNAL,tcp,445
410,deny,ANY,APP,tcp,25
411,deny,198.51.100.0/24,INTERNAL,tcp,8080
412,deny,172.16.5.0/24,MAIL,tcp,110
413,permit,192.168.1.0/24,INTERNAL,tcp,22
414,deny,ANY,DNS,tcp,21
415,permit,10.0.0.0/8,INTERNAL,tcp,143
416,permit,198.51.100.0/24,WEB,udp,53
417,permit,ANY,ANY,tcp,80
418,permit,198.51.100.0/24,DNS,tcp,23
419,permit,10.1.0.0/16,DMZ,tcp,143
420,deny,172.16.5.0/24,ANY,udp,123
421,deny,172.16.5.0/24,ANY,tcp,445
422,deny,172.16.5.0/24,APP,tcp,8080
423,permit,10.1.0.0/16,INTERNAL,tcp,80
424,permit,10.1.0.0/16,DNS,tcp,22
425,deny,192.168.10.0/24,MAIL,udp,123
426,permit,172.16.5.0/24,WEB,udp,161
427,deny,198.51.100.0/24,WEB,tcp,3306
428,permit,10.0.0.0/8,MAIL,udp,123
429,permit,192.168.1.0/24,WEB,tcp,25
430,permit,ANY,DNS,tcp,143
431,permit,172.16.5.0/24,WEB,tcp,80
432,permit,172.16.5.0/24,ANY,tcp,8080
433,permit,172.16.0.0/16,APP,tcp,3306
434,permit,ANY,DATABASE,udp,53
435,deny,ANY,APP,tcp,443
436,permit,192.168.10.0/24,APP,tcp,25
437,permit,203.0.113.0/24,DNS,udp,53
438,permit,172.16.5.0/24,DNS,tcp,443
439,deny,192.168.1.0/24,DNS,tcp,21
440,deny,192.168.1.0/24,WEB,tcp,80
441,permit,10.0.0.0/8,DATABASE,tcp,443
442,deny,192.168.20.0/24,WEB,tcp,23
443,deny,ANY,DMZ,tcp,110
444,permit,192.168.20.0/24,INTERNAL,tcp,22
445,deny,10.0.0.0/8,DNS,udp,123
446,permit,10.0.0.0/8,WEB,tcp,25
447,permit,192.168.10.0/24,ANY,tcp,3389
448,deny,192.168.1.0/24,INTERNAL,tcp,80
449,deny,203.0.113.0/24,WEB,udp,53
450,permit,172.16.0.0/16,ANY,udp,161
451,permit,172.16.0.0/16,ANY,tcp,8080
452,permit,ANY,MAIL,tcp,143
453,deny,203.0.113.0/24,INTERNAL,tcp,8080
454,permit,10.1.0.0/16,DNS,tcp,80
455,deny,198.51.100.0/24,DNS,tcp,3306
456,permit,192.168.10.0/24,DATABASE,tcp,110
457,deny,172.16.5.0/24,DMZ,tcp,143
458,deny,ANY,INTERNAL,udp,123
459,permit,192.168.1.0/24,DATABASE,tcp,25
460,permit,172.16.5.0/24,DMZ,tcp,22
461,permit,192.168.10.0/24,WEB,udp,123
462,deny,ANY,DMZ,tcp,443
463,permit,172.16.0.0/16,WEB,tcp,22
464,permit,192.168.20.0/24,WEB,tcp,8080
465,deny,192.168.20.0/24,DNS,tcp,8080
466,deny,172.16.0.0/16,DMZ,tcp,110
467,deny,172.16.5.0/24,APP,tcp,3389
468,permit,172.16.5.0/24,INTERNAL,tcp,3389
469,permit,172.16.5.0/24,INTERNAL,tcp,443
470,permit,203.0.113.0/24,DNS,tcp,23
471,permit,172.16.5.0/24,APP,udp,53
472,deny,10.0.0.0/8,DMZ,tcp,110
473,permit,203.0.113.0/24,APP,udp,123
474,deny,203.0.113.0/24,ANY,tcp,25
475,deny,172.16.5.0/24,INTERNAL,tcp,3389
476,permit,172.16.0.0/16,MAIL,udp,123
477,deny,192.168.10.0/24,APP,udp,53
478,deny,192.168.20.0/24,DNS,udp,53
479,deny,ANY,INTERNAL,tcp,143
480,deny,198.51.100.0/24,WEB,udp,123
481,permit,172.16.5.0/24,DATABASE,tcp,23
482,permit,192.168.10.0/24,INTERNAL,tcp,3389
483,permit,172.16.5.0/24,DATABASE,tcp,143
484,permit,192.168.1.0/24,DMZ,udp,123
485,permit,10.0.0.0/8,DATABASE,tcp,22
486,permit,192.168.20.0/24,DNS,udp,53
487,deny,192.168.1.0/24,MAIL,tcp,143
488,deny,198.51.100.0/24,DNS,tcp,80
489,deny,203.0.113.0/24,MAIL,udp,161
490,deny,10.0.0.0/8,DNS,udp,53
491,deny,192.168.10.0/24,DMZ,tcp,8080
492,deny,10.1.0.0/16,DNS,tcp,21
493,permit,198.51.100.0/24,MAIL,tcp,3389
494,permit,10.0.0.0/8,ANY,tcp,443
495,deny,192.168.1.0/24,DATABASE,tcp,3306
496,permit,192.168.10.0/24,DATABASE,tcp,3306
497,deny,ANY,ANY,tcp,3306
498,deny,203.0.113.0/24,MAIL,udp,123
499,deny,192.168.1.0/24,APP,tcp,80
500,deny,192.168.20.0/24,MAIL,tcp,110
501,permit,192.168.1.0/24,DNS,tcp,25
502,deny,172.16.0.0/16,DMZ,tcp,25
503,permit,203.0.113.0/24,APP,tcp,22
504,deny,192.168.10.0/24,DNS,tcp,80
505,permit,172.16.5.0/24,DATABASE,tcp,443
506,permit,192.168.10.0/24,DATABASE,tcp,143
507,deny,10.1.0.0/16,WEB,tcp,8080
508,permit,172.16.5.0/24,ANY,tcp,443
509,permit,10.1.0.0/16,APP,tcp,143
510,deny,198.51.100.0/24,APP,tcp,443
511,deny,10.0.0.0/8,MAIL,udp,123
512,deny,172.16.5.0/24,ANY,tcp,443
513,deny,10.1.0.0/16,DNS,udp,53
514,deny,10.0.0.0/8,APP,tcp,23
515,deny,172.16.5.0/24,INTERNAL,udp,161
516,permit,203.0.113.0/24,INTERNAL,tcp,80
517,deny,ANY,MAIL,tcp,21
518,permit,192.168.10.0/24,DATABASE,udp,53
519,deny,172.16.0.0/16,APP,udp,53
520,permit,203.0.113.0/24,DATABASE,tcp,110
521,permit,172.16.5.0/24,DMZ,tcp,25
522,deny,10.0.0.0/8,MAIL,tcp,22
523,deny,10.0.0.0/8,DNS,tcp,143
524,permit,192.168.10.0/24,DMZ,tcp,80
525,permit,192.168.20.0/24,INTERNAL,tcp,143
526,deny,172.16.5.0/24,DATABASE,tcp,80
527,deny,ANY,APP,tcp,8080
528,permit,192.168.20.0/24,DMZ,udp,161
529,permit,172.16.5.0/24,MAIL,tcp,25
530,deny,10.0.0.0/8,DNS,tcp,445
531,permit,192.168.10.0/24,DMZ,tcp,3306
532,deny,172.16.0.0/16,MAIL,tcp,3306
533,permit,10.1.0.0/16,APP,tcp,80
534,permit,192.168.1.0/24,INTERNAL,tcp,110
535,permit,203.0.113.0/24,ANY,tcp,80
536,permit,172.16.5.0/24,WEB,tcp,143
537,deny,198.51.100.0/24,WEB,udp,53
538,deny,192.168.10.0/24,MAIL,tcp,8080
539,permit,192.168.20.0/24,DMZ,tcp,22
540,deny,192.168.1.0/24,DNS,udp,53
541,permit,192.168.1.0/24,DATABASE,tcp,3306
542,deny,192.168.20.0/24,DATABASE,tcp,3306
543,deny,ANY,DMZ,tcp,25
544,permit,192.168.20.0/24,ANY,tcp,21
545,permit,10.1.0.0/16,DNS,tcp,3389
546,deny,203.0.113.0/24,DATABASE,udp,161
547,permit,ANY,ANY,tcp,443
548,deny,ANY,DNS,tcp,80
549,permit,ANY,DMZ,tcp,3306
550,deny,192.168.1.0/24,APP,tcp,8080
551,permit,10.0.0.0/8,DATABASE,udp,53
552,deny,10.1.0.0/16,DATABASE,tcp,443
553,permit,192.168.1.0/24,ANY,tcp,22
554,permit,192.168.10.0/24,WEB,tcp,8080
