ID,Action,Source,Destination,Protocol,Port
203,deny,192.168.20.0/24,WEB,tcp,21
204,deny,ANY,WEB,tcp,110
205,permit,192.168.20.0/24,APP,tcp,445
206,permit,192.168.1.0/24,INTERNAL,tcp,443
207,deny,10.1.0.0/16,ANY,tcp,143
208,deny,192.168.10.0/24,DMZ,tcp,21
209,deny,192.168.10.0/24,DMZ,tcp,143
210,permit,203.0.113.0/24,APP,tcp,23
211,permit,10.1.0.0/16,ANY,tcp,443
212,deny,192.168.1.0/24,ANY,tcp,143
213,deny,198.51.100.0/24,INTERNAL,tcp,3306
214,permit,192.168.20.0/24,DMZ,tcp,110
215,permit,203.0.113.0/24,WEB,tcp,22
216,permit,192.168.20.0/24,ANY,tcp,143
217,permit,10.0.0.0/8,ANY,tcp,22
218,permit,172.16.5.0/24,WEB,tcp,25
219,permit,192.168.20.0/24,MAIL,tcp,445
220,permit,172.16.5.0/24,DMZ,udp,161
221,permit,192.168.10.0/24,ANY,tcp,80
222,permit,192.168.10.0/24,APP,udp,123
223,permit,172.16.0.0/16,DNS,udp,53
224,deny,10.0.0.0/8,WEB,tcp,21
225,permit,ANY,ANY,tcp,445
226,permit,10.0.0.0/8,DNS,tcp,3306
227,permit,10.1.0.0/16,APP,tcp,23
228,deny,198.51.100.0/24,INTERNAL,tcp,110
229,permit,203.0.113.0/24,APP,tcp,110
230,deny,192.168.10.0/24,DATABASE,tcp,8080
231,permit,172.16.0.0/16,DMZ,tcp,8080
232,deny,192.168.1.0/24,MAIL,tcp,443
233,deny,192.168.1.0/24,DMZ,tcp,25
234,deny,10.1.0.0/16,DATABASE,tcp,21
235,deny,10.1.0.0/16,WEB,tcp,21
236,deny,172.16.5.0/24,DMZ,tcp,22
237,permit,172.16.5.0/24,ANY,udp,161
238,deny,192.168.20.0/24,DNS,udp,123
239,deny,192.168.1.0/24,DMZ,tcp,445
240,deny,192.168.10.0/24,WEB,tcp,3306
241,permit,192.168.1.0/24,APP,udp,53
242,permit,10.1.0.0/16,MAIL,tcp,445
243,deny,172.16.5.0/24,INTERNAL,tcp,8080
244,deny,10.1.0.0/16,ANY,tcp,3389
245,deny,172.16.0.0/16,WEB,tcp,143
246,deny,192.168.1.0/24,DMZ,tcp,8080
247,deny,198.51.100.0/24,MAIL,tcp,143
248,permit,172.16.0.0/16,DNS,tcp,21
249,deny,192.168.20.0/24,MAIL,tcp,25
250,permit,172.16.0.0/16,INTERNAL,tcp,3306
251,permit,10.1.0.0/16,WEB,tcp,22
252,permit,172.16.5.0/24,DMZ,tcp,443
253,deny,192.168.1.0/24,MAIL,udp,123
254,deny,10.1.0.0/16,MAIL,tcp,3389
255,permit,ANY,MAIL,tcp,443
256,deny,ANY,ANY,tcp,80
257,permit,10.0.0.0/8,DATABASE,tcp,80
258,permit,ANY,DNS,tcp,22
259,deny,198.51.100.0/24,DMZ,tcp,110
260,deny,172.16.0.0/16,MAIL,tcp,23
261,deny,192.168.1.0/24,INTERNAL,tcp,23
262,permit,10.1.0.0/16,MAIL,udp,161
263,deny,172.16.5.0/24,APP,tcp,23
264,permit,198.51.100.0/24,DNS,tcp,25
265,permit,10.0.0.0/8,DATABASE,tcp,23
266,deny,10.0.0.0/8,DATABASE,tcp,22
267,permit,198.51.100.0/24,WEB,tcp,110
268,deny,192.168.10.0/24,MAIL,tcp,23
269,deny,10.0.0.0/8,MAIL,tcp,80
270,deny,10.0.0.0/8,APP,tcp,443
271,deny,10.0.0.0/8,INTERNAL,udp,53
272,deny,198.51.100.0/24,APP,udp,123
273,permit,172.16.0.0/16,DMZ,tcp,110
274,permit,10.0.0.0/8,MAIL,udp,161
275,permit,10.0.0.0/8,INTERNAL,tcp,22
276,deny,192.168.20.0/24,MAIL,tcp,23
277,deny,198.51.100.0/24,DNS,tcp,143
278,permit,10.0.0.0/8,DMZ,tcp,23
279,permit,198.51.100.0/24,INTERNAL,tcp,110
280,permit,192.168.10.0/24,DNS,tcp,22
281,deny,10.1.0.0/16,APP,tcp,445
282,permit,10.1.0.0/16,APP,tcp,110
283,deny,192.168.1.0/24,MAIL,tcp,3389
284,deny,10.0.0.0/8,DATABASE,tcp,23
285,deny,192.168.1.0/24,WEB,udp,53
286,permit,172.16.0.0/16,APP,udp,53
287,permit,192.168.20.0/24,MAIL,udp,53
288,permit,10.1.0.0/16,DNS,tcp,110
289,deny,192.168.20.0/24,DATABASE,tcp,22
290,deny,172.16.0.0/16,MAIL,tcp,110
291,permit,192.168.20.0/24,APP,tcp,21
292,deny,192.168.10.0/24,APP,tcp,25
293,deny,198.51.100.0/24,DNS,tcp,23
294,permit,10.0.0.0/8,DMZ,tcp,22
295,permit,ANY,ANY,tcp,3389
296,permit,198.51.100.0/24,DMZ,udp,123
297,permit,10.0.0.0/8,APP,tcp,23
298,deny,198.51.100.0/24,ANY,tcp,22
299,deny,192.168.1.0/24,DATABASE,udp,161
300,permit,192.168.10.0/24,APP,tcp,443
301,permit,172.16.5.0/24,DNS,tcp,143
302,deny,172.16.0.0/16,DATABASE,tcp,23
303,deny,10.0.0.0/8,DNS,tcp,23
304,permit,198.51.100.0/24,DNS,tcp,445
305,permit,192.168.10.0/24,WEB,tcp,3389
306,permit,192.168.20.0/24,ANY,tcp,8080
307,permit,172.16.5.0/24,DNS,tcp,3389
308,deny,172.16.0.0/16,ANY,tcp,445
309,permit,172.16.5.0/24,DMZ,tcp,23
310,deny,198.51.100.0/24,DMZ,tcp,3306
311,deny,10.1.0.0/16,ANY,tcp,3306
312,deny,10.1.0.0/16,INTERNAL,tcp,23
313,permit,172.16.5.0/24,WEB,udp,123
314,permit,192.168.10.0/24,INTERNAL,tcp,23
315,permit,192.168.10.0/24,MAIL,tcp,22
316,deny,10.1.0.0/16,DNS,tcp,445
317,permit,10.1.0.0/16,INTERNAL,tcp,3389
318,permit,198.51.100.0/24,APP,tcp,3389
319,deny,192.168.20.0/24,DMZ,udp,53
320,permit,198.51.100.0/24,DMZ,tcp,21
321,permit,192.168.1.0/24,ANY,tcp,143
322,permit,10.1.0.0/16,WEB,udp,53
323,permit,192.168.1.0/24,DMZ,udp,161
324,permit,10.0.0.0/8,DATABASE,tcp,3306
325,permit,ANY,ANY,tcp,22
326,deny,192.168.10.0/24,WEB,udp,53
327,permit,192.168.10.0/24,DATABASE,tcp,21
328,permit,198.51.100.0/24,DATABASE,tcp,445
329,permit,192.168.10.0/24,WEB,tcp,22
330,permit,192.168.20.0/24,DATABASE,tcp,445
331,deny,198.51.100.0/24,APP,tcp,3306
332,deny,192.168.1.0/24,APP,tcp,22
333,deny,203.0.113.0/24,DNS,tcp,3306
334,deny,192.168.20.0/24,DNS,tcp,443
335,permit,192.168.10.0/24,ANY,tcp,143
336,permit,ANY,DATABASE,tcp,25
337,permit,10.1.0.0/16,WEB,tcp,110
338,permit,ANY,DMZ,tcp,3389
339,permit,10.0.0.0/8,DMZ,tcp,3306
340,permit,192.168.20.0/24,DMZ,tcp,445
341,deny,ANY,DATABASE,tcp,80
342,deny,172.16.0.0/16,APP,udp,123
343,deny,192.168.10.0/24,INTERNAL,tcp,22
344,permit,172.16.0.0/16,INTERNAL,tcp,143
345,permit,10.1.0.0/16,APP,tcp,22
346,deny,ANY,ANY,tcp,143
347,deny,192.168.1.0/24,DATABASE,tcp,3389
348,deny,ANY,MAIL,udp,123
349,deny,10.1.0.0/16,WEB,tcp,443
350,deny,192.168.1.0/24,MAIL,tcp,21
351,permit,192.168.1.0/24,WEB,udp,53
352,permit,172.16.0.0/16,INTERNAL,tcp,110
353,permit,10.1.0.0/16,ANY,tcp,143
354,deny,10.1.0.0/16,MAIL,udp,161
355,deny,192.168.10.0/24,APP,tcp,3306
356,permit,ANY,DATABASE,tcp,8080
357,deny,198.51.100.0/24,INTERNAL,tcp,22
358,deny,ANY,WEB,udp,161
359,deny,172.16.0.0/16,DATABASE,udp,53
360,permit,198.51.100.0/24,DATABASE,tcp,443
361,deny,192.168.10.0/24,INTERNAL,tcp,21
362,permit,198.51.100.0/24,DMZ,tcp,445
363,permit,10.1.0.0/16,DNS,tcp,21
364,permit,ANY,MAIL,tcp,21
365,deny,192.168.20.0/24,DMZ,tcp,443
366,permit,198.51.100.0/24,ANY,tcp,22
367,deny,203.0.113.0/24,DMZ,tcp,80
368,permit,192.168.1.0/24,MAIL,tcp,8080
369,deny,198.51.100.0/24,MAIL,udp,53
370,deny,ANY,WEB,tcp,21
371,deny,203.0.113.0/24,APP,tcp,21
372,deny,10.1.0.0/16,ANY,tcp,80
373,permit,ANY,DMZ,tcp,25
374,permit,192.168.20.0/24,DMZ,udp,123
375,deny,172.16.5.0/24,INTERNAL,tcp,23
376,permit,172.16.5.0/24,APP,tcp,25
377,deny,10.0.0.0/8,WEB,tcp,25
378,deny,192.168.20.0/24,ANY,tcp,110
379,deny,ANY,WEB,udp,123
380,deny,192.168.1.0/24,ANY,tcp,23
381,deny,172.16.0.0/16,APP,tcp,3389
382,permit,172.16.0.0/16,DATABASE,udp,161
383,deny,172.16.5.0/24,WEB,tcp,25
384,permit,172.16.0.0/16,DNS,tcp,3389
385,permit,10.0.0.0/8,MAIL,tcp,21
386,permit,192.168.10.0/24,WEB,udp,161
387,deny,192.168.10.0/24,APP,udp,161
388,permit,192.168.1.0/24,APP,tcp,3389
389,permit,198.51.100.0/24,DATABASE,tcp,23
390,permit,172.16.5.0/24,DATABASE,tcp,3306
391,deny,10.0.0.0/8,INTERNAL,tcp,8080
392,deny,10.1.0.0/16,WEB,udp,53
393,deny,203.0.113.0/24,DMZ,tcp,22
394,deny,192.168.1.0/24,ANY,tcp,443
395,permit,172.16.5.0/24,WEB,tcp,8080
396,permit,ANY,MAIL,tcp,80
397,permit,192.168.10.0/24,DNS,tcp,445
398,permit,192.168.10.0/24,DMZ,udp,53
399,permit,192.168.20.0/24,DATABASE,tcp,3389
400,permit,172.16.5.0/24,APP,tcp,445
401,deny,10.1.0.0/16,APP,udp,53
402,permit,192.168.20.0/24,ANY,tcp,110
403,permit,198.51.100.0/24,APP,tcp,143
404,permit,10.0.0.0/8,WEB,tcp,21
405,deny,172.16.5.0/24,WEB,udp,123
406,deny,203.0.113.0/24,DATABASE,tcp,22
407,permit,ANY,WEB,tcp,3389
408,permit,192.168.10.0/24,ANY,udp,53
409,permit,ANY,DNS,tcp,445
410,permit,10.0.0.0/8,WEB,tcp,110
411,permit,192.168.20.0/24,ANY,tcp,22
412,permit,192.168.1.0/24,DATABASE,tcp,80
413,deny,192.168.20.0/24,DMZ,tcp,23
414,permit,10.0.0.0/8,DNS,udp,53
415,deny,192.168.1.0/24,DATABASE,tcp,25
416,deny,172.16.5.0/24,APP,tcp,443
417,deny,172.16.0.0/16,INTERNAL,udp,123
418,deny,172.16.0.0/16,WEB,tcp,3306
419,deny,10.1.0.0/16,WEB,udp,161
420,permit,10.1.0.0/16,DATABASE,tcp,143
421,permit,10.0.0.0/8,MAIL,tcp,25
422,permit,10.1.0.0/16,WEB,tcp,23
423,permit,192.168.20.0/24,DNS,tcp,21
424,deny,203.0.113.0/24,DNS,tcp,143
425,deny,10.1.0.0/16,DATABASE,tcp,143
426,permit,ANY,DNS,tcp,80
427,permit,172.16.0.0/16,DATABASE,tcp,21
428,permit,192.168.1.0/24,WEB,udp,123
429,permit,198.51.100.0/24,DMZ,udp,123
430,deny,192.168.20.0/24,DATABASE,tcp,22
431,permit,192.168.20.0/24,DATABASE,tcp,443
432,deny,10.1.0.0/16,ANY,tcp,143
433,permit,172.16.5.0/24,APP,tcp,445
434,permit,10.0.0.0/8,DATABASE,tcp,23
435,deny,10.0.0.0/8,INTERNAL,tcp,110
436,deny,172.16.5.0/24,ANY,tcp,21
437,deny,198.51.100.0/24,ANY,udp,123
438,deny,192.168.1.0/24,MAIL,udp,123
439,deny,203.0.113.0/24,ANY,tcp,110
440,deny,198.51.100.0/24,DATABASE,tcp,3389
441,deny,198.51.100.0/24,DNS,tcp,445
442,permit,10.0.0.0/8,DATABASE,tcp,3306
443,deny,192.168.20.0/24,DNS,udp,123
444,permit,10.0.0.0/8,WEB,tcp,21
445,deny,10.1.0.0/16,INTERNAL,udp,123
446,deny,192.168.20.0/24,APP,tcp,110
447,deny,ANY,DATABASE,tcp,8080
448,permit,192.168.20.0/24,ANY,tcp,8080
449,permit,10.0.0.0/8,APP,tcp,3306
450,deny,10.0.0.0/8,INTERNAL,tcp,22
451,permit,203.0.113.0/24,DNS,tcp,25
452,deny,10.0.0.0/8,DATABASE,tcp,22
453,deny,10.1.0.0/16,ANY,tcp,3306
454,permit,192.168.10.0/24,DMZ,tcp,110
455,permit,172.16.0.0/16,DATABASE,tcp,3306
456,permit,198.51.100.0/24,DATABASE,tcp,110
457,deny,172.16.5.0/24,APP,tcp,80
458,deny,172.16.0.0/16,MAIL,tcp,110
459,deny,192.168.20.0/24,MAIL,tcp,25
460,permit,172.16.5.0/24,DNS,tcp,143
461,permit,192.168.20.0/24,APP,tcp,21
462,permit,198.51.100.0/24,WEB,tcp,21
463,permit,172.16.5.0/24,MAIL,udp,161
464,deny,192.168.20.0/24,DATABASE,tcp,3389
465,deny,203.0.113.0/24,DNS,tcp,25
466,deny,192.168.20.0/24,MAIL,tcp,445
467,deny,192.168.10.0/24,MAIL,tcp,443
468,deny,203.0.113.0/24,APP,tcp,110
469,permit,203.0.113.0/24,DMZ,tcp,22
470,deny,198.51.100.0/24,DNS,tcp,445
471,deny,10.1.0.0/16,DATABASE,tcp,143
472,permit,10.1.0.0/16,INTERNAL,tcp,23
473,deny,203.0.113.0/24,MAIL,tcp,445
474,deny,192.168.1.0/24,WEB,tcp,80
475,permit,192.168.20.0/24,APP,tcp,25
476,deny,10.0.0.0/8,ANY,tcp,3306
477,permit,192.168.1.0/24,DMZ,udp,123
478,permit,203.0.113.0/24,ANY,tcp,22
479,permit,172.16.0.0/16,DATABASE,tcp,110
480,permit,10.1.0.0/16,WEB,udp,123
481,permit,203.0.113.0/24,APP,tcp,23
482,deny,10.1.0.0/16,MAIL,tcp,3389
483,deny,198.51.100.0/24,DATABASE,tcp,110
484,deny,172.16.0.0/16,APP,udp,53
485,permit,10.0.0.0/8,WEB,tcp,80
486,permit,10.1.0.0/16,WEB,tcp,80
487,permit,172.16.0.0/16,WEB,tcp,443
488,permit,172.16.5.0/24,WEB,tcp,443
489,deny,203.0.113.0/24,DMZ,tcp,23
490,deny,203.0.113.128/25,DMZ,tcp,23
491,deny,198.51.100.0/24,DMZ,tcp,21
492,deny,198.51.100.128/25,DMZ,tcp,21
493,permit,192.168.10.0/24,DMZ,udp,53
494,permit,192.168.10.128/25,DMZ,udp,53
495,permit,10.0.0.0/8,DATABASE,tcp,3306
496,permit,10.2.2.0/24,DATABASE,tcp,3306
497,deny,172.16.0.0/16,MAIL,tcp,25
498,deny,172.16.10.0/24,MAIL,tcp,25
499,permit,192.168.1.0/24,WEB,tcp,8080
500,permit,192.168.1.128/25,WEB,tcp,8080
